userID,venueID,date,year,monthOfYear,dayOfWeek,dayOfMonth,dayHour,visitCount
7509,28838,2011-12-08,2011,12,5,8,23,8
7509,11492,2011-12-10,2011,12,7,10,17,8
7509,487163,2011-12-10,2011,12,7,10,19,8
7509,34034,2011-12-10,2011,12,7,10,21,8
7509,47021,2012-01-28,2012,1,7,28,1,8
7509,47021,2012-01-29,2012,1,1,29,20,8
7509,11492,2012-01-30,2012,1,2,30,1,8
7509,1956,2012-03-31,2012,3,7,31,17,8
9317,64,2012-04-20,2012,4,6,20,15,13
9317,16436,2012-04-20,2012,4,6,20,17,13
9317,5222,2011-12-09,2011,12,6,9,13,13
9317,221221,2011-12-12,2011,12,2,12,0,13
9317,16436,2011-12-12,2011,12,2,12,10,13
9317,2297,2011-12-12,2011,12,2,12,13,13
9317,2297,2011-12-12,2011,12,2,12,13,13
9317,31710,2011-12-14,2011,12,4,14,14,13
9317,2297,2011-12-14,2011,12,4,14,17,13
9317,16436,2012-01-31,2012,1,3,31,10,13
9317,2297,2012-01-31,2012,1,3,31,13,13
9317,7489,2012-03-16,2012,3,6,16,12,13
9317,16436,2012-03-16,2012,3,6,16,14,13
9567,3317,2011-12-13,2011,12,3,13,23,6
9567,12004,2011-12-26,2011,12,2,26,4,6
9567,9822,2012-01-28,2012,1,7,28,12,6
9567,9822,2012-04-13,2012,4,6,13,10,6
9567,9822,2011-12-26,2011,12,2,26,11,6
9567,301823,2012-03-05,2012,3,2,5,22,6
10415,7620,2012-04-22,2012,4,1,22,11,13
10415,819,2011-12-10,2011,12,7,10,5,13
10415,198296,2011-12-10,2011,12,7,10,5,13
10415,827,2011-12-10,2011,12,7,10,18,13
10415,7620,2011-12-23,2011,12,6,23,16,13
10415,280373,2011-12-23,2011,12,6,23,23,13
10415,280373,2011-12-26,2011,12,2,26,18,13
10415,7620,2011-12-27,2011,12,3,27,1,13
10415,60,2012-03-18,2012,3,1,18,22,13
10415,150042,2012-01-25,2012,1,4,25,17,13
10415,7620,2012-01-28,2012,1,7,28,5,13
10415,32679,2012-01-28,2012,1,7,28,11,13
10415,2966,2012-03-16,2012,3,6,16,19,13
12341,175663,2011-12-25,2011,12,1,25,18,12
12341,175663,2011-12-26,2011,12,2,26,1,12
12341,175663,2011-12-26,2011,12,2,26,22,12
12341,32163,2012-01-25,2012,1,4,25,18,12
12341,9822,2012-01-25,2012,1,4,25,22,12
12341,69432,2012-01-26,2012,1,5,26,18,12
12341,11195,2012-01-29,2012,1,1,29,21,12
12341,11195,2012-01-30,2012,1,2,30,22,12
12341,7284,2012-01-31,2012,1,3,31,1,12
12341,56294,2012-03-24,2012,3,7,24,16,12
12341,9822,2012-04-03,2012,4,3,3,10,12
12341,5222,2012-04-03,2012,4,3,3,17,12
15512,562,2012-01-25,2012,1,4,25,21,5
15512,25208,2012-01-26,2012,1,5,26,3,5
15512,60,2012-01-28,2012,1,7,28,1,5
15512,7491,2012-01-28,2012,1,7,28,7,5
15512,61080,2012-01-25,2012,1,4,25,20,5
18956,119538,2011-12-11,2011,12,1,11,2,5
18956,11195,2011-12-25,2011,12,1,25,18,5
18956,4084,2011-12-25,2011,12,1,25,15,5
18956,19683,2011-12-24,2011,12,7,24,18,5
18956,25955,2011-12-11,2011,12,1,11,5,5
21728,16642,2011-12-11,2011,12,1,11,22,6
21728,169272,2011-12-11,2011,12,1,11,3,6
21728,13909,2011-12-12,2011,12,2,12,4,6
21728,169272,2011-12-10,2011,12,7,10,4,6
21728,16642,2011-12-09,2011,12,6,9,16,6
21728,47014,2011-12-10,2011,12,7,10,18,6
22359,150659,2012-01-24,2012,1,3,24,5,7
22359,7620,2012-01-25,2012,1,4,25,20,7
22359,9310,2012-01-25,2012,1,4,25,23,7
22359,94112,2012-01-27,2012,1,6,27,19,7
22359,7620,2012-01-28,2012,1,7,28,4,7
22359,112931,2012-01-28,2012,1,7,28,22,7
22359,15109,2012-01-29,2012,1,1,29,22,7
31628,154352,2011-12-10,2011,12,7,10,5,5
31628,84366,2011-12-12,2011,12,2,12,1,5
31628,56340,2011-12-27,2011,12,3,27,1,5
31628,122962,2012-01-26,2012,1,5,26,22,5
31628,4304,2012-03-31,2012,3,7,31,20,5
40249,783,2011-12-11,2011,12,1,11,0,7
40249,783,2011-12-14,2011,12,4,14,1,7
40249,7620,2012-03-19,2012,3,2,19,18,7
40249,783,2012-01-29,2012,1,1,29,21,7
40249,783,2012-04-01,2012,4,1,1,0,7
40249,783,2012-04-01,2012,4,1,1,22,7
40249,783,2012-04-07,2012,4,7,7,22,7
50100,280373,2011-12-11,2011,12,1,11,16,5
50100,22985,2011-12-11,2011,12,1,11,19,5
50100,292716,2012-01-24,2012,1,3,24,4,5
50100,7489,2012-03-19,2012,3,2,19,11,5
50100,11138,2012-03-23,2012,3,6,23,16,5
56678,890015,2011-12-14,2011,12,4,14,0,5
56678,22412,2011-12-09,2011,12,6,9,1,5
56678,138770,2011-12-25,2011,12,1,25,18,5
56678,101837,2012-01-28,2012,1,7,28,1,5
56678,17422,2012-01-28,2012,1,7,28,23,5
60257,175586,2011-12-24,2011,12,7,24,4,5
60257,46717,2012-04-01,2012,4,1,1,12,5
60257,46717,2012-04-03,2012,4,3,3,12,5
60257,86326,2012-04-01,2012,4,1,1,9,5
60257,86326,2012-04-03,2012,4,3,3,15,5
61655,54830,2012-04-22,2012,4,1,22,1,22
61655,250795,2012-04-21,2012,4,7,21,3,22
61655,54270,2012-04-21,2012,4,7,21,17,22
61655,643413,2012-04-22,2012,4,1,22,4,22
61655,54272,2012-04-22,2012,4,1,22,16,22
61655,1122333,2012-04-22,2012,4,1,22,21,22
61655,54449,2011-12-10,2011,12,7,10,2,22
61655,7284,2011-12-23,2011,12,6,23,19,22
61655,7284,2011-12-23,2011,12,6,23,20,22
61655,4432,2011-12-24,2011,12,7,24,6,22
61655,250795,2012-03-18,2012,3,1,18,21,22
61655,111617,2012-03-19,2012,3,2,19,18,22
61655,282818,2012-03-16,2012,3,6,16,16,22
61655,54272,2012-03-20,2012,3,3,20,3,22
61655,108940,2012-03-17,2012,3,7,17,1,22
61655,54272,2012-03-17,2012,3,7,17,17,22
61655,318782,2012-03-17,2012,3,7,17,21,22
61655,4432,2012-03-24,2012,3,7,24,14,22
61655,84329,2012-03-24,2012,3,7,24,21,22
61655,54272,2012-03-30,2012,3,6,30,22,22
61655,1122333,2012-04-03,2012,4,3,3,0,22
61655,250795,2012-04-10,2012,4,3,10,1,22
64840,275528,2011-12-13,2011,12,3,13,1,8
64840,175407,2012-01-24,2012,1,3,24,2,8
64840,9310,2012-01-27,2012,1,6,27,3,8
64840,7491,2012-01-27,2012,1,6,27,9,8
64840,7620,2012-01-28,2012,1,7,28,5,8
64840,7620,2012-01-28,2012,1,7,28,19,8
64840,5222,2012-01-28,2012,1,7,28,21,8
64840,13112,2012-01-29,2012,1,1,29,7,8
65137,7491,2012-01-27,2012,1,6,27,4,6
65137,7620,2012-01-28,2012,1,7,28,4,6
65137,11195,2012-03-19,2012,3,2,19,14,6
65137,636985,2012-01-29,2012,1,1,29,3,6
65137,7620,2012-01-29,2012,1,1,29,14,6
65137,60,2012-03-20,2012,3,3,20,12,6
71370,17702,2011-12-10,2011,12,7,10,15,5
71370,10936,2011-12-10,2011,12,7,10,21,5
71370,138770,2011-12-10,2011,12,7,10,22,5
71370,43960,2012-03-31,2012,3,7,31,22,5
71370,43960,2012-04-02,2012,4,2,2,14,5
79553,977753,2012-04-22,2012,4,1,22,6,13
79553,1028,2011-12-10,2011,12,7,10,10,13
79553,7620,2011-12-11,2011,12,1,11,21,13
79553,7620,2011-12-12,2011,12,2,12,5,13
79553,4202,2012-03-18,2012,3,1,18,15,13
79553,27007,2011-12-23,2011,12,6,23,4,13
79553,153815,2011-12-23,2011,12,6,23,21,13
79553,7620,2011-12-24,2011,12,7,24,19,13
79553,9822,2011-12-25,2011,12,1,25,2,13
79553,7620,2012-03-18,2012,3,1,18,23,13
79553,56307,2012-01-28,2012,1,7,28,18,13
79553,7620,2012-01-28,2012,1,7,28,22,13
79553,2966,2012-03-18,2012,3,1,18,6,13
83298,357782,2012-04-22,2012,4,1,22,6,5
83298,449681,2012-04-22,2012,4,1,22,19,5
83298,12408,2012-01-23,2012,1,2,23,19,5
83298,154689,2012-03-23,2012,3,6,23,17,5
83298,243312,2012-04-12,2012,4,5,12,23,5
87253,46717,2011-12-10,2011,12,7,10,2,8
87253,116071,2011-12-10,2011,12,7,10,20,8
87253,276892,2011-12-10,2011,12,7,10,21,8
87253,47009,2011-12-11,2011,12,1,11,5,8
87253,93831,2011-12-11,2011,12,1,11,18,8
87253,39605,2012-01-27,2012,1,6,27,4,8
87253,28304,2012-03-17,2012,3,7,17,19,8
87253,23558,2012-03-17,2012,3,7,17,22,8
91183,788,2011-12-10,2011,12,7,10,18,7
91183,156025,2011-12-23,2011,12,6,23,3,7
91183,41423,2011-12-26,2011,12,2,26,19,7
91183,7284,2012-01-26,2012,1,5,26,13,7
91183,192722,2012-01-29,2012,1,1,29,1,7
91183,32163,2012-04-01,2012,4,1,1,13,7
91183,7284,2012-04-01,2012,4,1,1,17,7
94642,62528,2011-12-23,2011,12,6,23,16,5
94642,23558,2011-12-23,2011,12,6,23,17,5
94642,475058,2011-12-23,2011,12,6,23,20,5
94642,23558,2011-12-26,2011,12,2,26,21,5
94642,23558,2012-01-28,2012,1,7,28,18,5
97874,7620,2011-12-13,2011,12,3,13,21,5
97874,7620,2012-01-23,2012,1,2,23,20,5
97874,20073,2012-01-27,2012,1,6,27,19,5
97874,390,2012-01-28,2012,1,7,28,7,5
97874,390,2012-01-29,2012,1,1,29,4,5
100399,11195,2012-01-29,2012,1,1,29,14,11
100399,7620,2011-12-09,2011,12,6,9,0,11
100399,32163,2011-12-13,2011,12,3,13,2,11
100399,1629,2011-12-14,2011,12,4,14,2,11
100399,5222,2011-12-23,2011,12,6,23,7,11
100399,5222,2011-12-26,2011,12,2,26,12,11
100399,9310,2011-12-26,2011,12,2,26,17,11
100399,142074,2012-01-25,2012,1,4,25,19,11
100399,562596,2012-01-28,2012,1,7,28,4,11
100399,12004,2012-01-31,2012,1,3,31,5,11
100399,11195,2012-03-20,2012,3,3,20,14,11
102374,60,2012-04-21,2012,4,7,21,0,7
102374,280373,2012-01-24,2012,1,3,24,2,7
102374,11138,2012-04-01,2012,4,1,1,14,7
102374,32679,2011-12-27,2011,12,3,27,12,7
102374,9822,2012-01-23,2012,1,2,23,23,7
102374,5222,2012-01-24,2012,1,3,24,8,7
102374,5222,2012-01-30,2012,1,2,30,17,7
108897,3104,2012-04-23,2012,4,2,23,0,5
108897,64014,2011-12-09,2011,12,6,9,3,5
108897,2964,2011-12-27,2011,12,3,27,2,5
108897,7284,2012-01-30,2012,1,2,30,22,5
108897,5222,2012-04-06,2012,4,6,6,13,5
127326,11492,2011-12-09,2011,12,6,9,15,5
127326,24907,2012-03-05,2012,3,2,5,23,5
127326,11492,2012-03-30,2012,3,6,30,12,5
127326,11492,2012-04-02,2012,4,2,2,21,5
127326,11492,2012-04-03,2012,4,3,3,12,5
144772,262818,2011-12-10,2011,12,7,10,3,7
144772,392609,2011-12-08,2011,12,5,8,23,7
144772,314793,2011-12-25,2011,12,1,25,7,7
144772,152492,2011-12-24,2011,12,7,24,19,7
144772,2297,2012-03-05,2012,3,2,5,19,7
144772,661383,2012-03-05,2012,3,2,5,21,7
144772,4304,2012-03-16,2012,3,6,16,17,7
149491,7489,2011-12-10,2011,12,7,10,2,16
149491,7489,2011-12-12,2011,12,2,12,11,16
149491,16090,2011-12-12,2011,12,2,12,13,16
149491,7489,2012-01-25,2012,1,4,25,20,16
149491,21948,2012-01-26,2012,1,5,26,1,16
149491,7489,2012-03-19,2012,3,2,19,10,16
149491,7489,2012-03-19,2012,3,2,19,10,16
149491,64,2012-03-19,2012,3,2,19,12,16
149491,7489,2012-01-30,2012,1,2,30,1,16
